bus_id,total_capacity,seats
1,90,27
2,90,27
3,90,27
4,90,27
5,90,27
6,90,27
7,90,27
8,90,27
9,90,27
10,90,27
11,90,27
12,90,27
13,90,27
14,90,27
15,90,27
16,90,27
17,90,27
18,90,27
19,90,27
20,90,27
21,90,27
22,90,27
23,90,27
24,90,27
25,90,27
26,90,27
27,90,27
28,90,27
29,90,27
30,90,27
31,90,27
32,90,27
33,90,27
34,90,27
35,90,27
36,90,27
37,90,27
38,90,27
39,90,27
40,90,27
41,90,27
42,90,27
43,90,27
44,90,27
45,90,27
46,90,27
47,90,27
48,90,27
49,90,27
50,90,27
51,50,15
52,50,15
53,50,15
54,50,15
55,50,15
56,50,15
57,50,15
58,50,15
59,50,15
60,50,15
61,50,15
62,50,15
63,50,15
64,50,15
65,50,15
66,50,15
67,50,15
68,50,15
69,50,15
70,50,15
71,50,15
72,50,15
73,50,15
74,50,15
75,50,15
76,50,15
77,50,15
78,50,15
79,50,15
90,50,15
81,50,15
82,50,15
83,50,15
84,50,15
85,50,15
86,50,15
87,50,15
88,50,15
89,50,15
90,50,15
91,50,15
92,50,15
93,50,15
94,50,15
95,50,15
96,50,15
97,50,15
98,50,15
99,50,15
100,50,15
101,50,15
102,50,15
103,50,15
104,50,15
105,50,15
106,50,15
107,50,15
108,50,15
109,50,15
110,50,15
111,50,15
112,50,15
113,50,15
114,50,15
115,50,15
116,50,15
117,50,15
118,50,15
119,50,15
120,50,15
121,50,15
122,50,15
123,50,15
124,50,15
125,50,15
126,50,15
127,50,15
128,50,15
129,50,15
130,50,15
131,50,15
132,50,15
133,50,15
134,50,15
135,50,15
136,50,15
137,50,15
138,50,15
139,50,15
140,50,15
141,50,15
142,50,15
143,50,15
144,50,15
145,50,15
146,50,15
147,50,15
148,50,15
149,50,15
150,50,15
151,50,15
152,50,15
153,50,15
154,50,15
155,50,15
156,50,15
157,50,15
158,50,15
159,50,15
160,50,15
161,50,15
162,50,15
163,50,15
164,50,15
165,50,15
166,50,15
167,50,15
168,50,15
169,50,15
170,50,15
171,50,15
172,50,15
173,50,15
174,50,15
175,50,15
176,50,15
177,50,15
178,50,15
179,50,15
190,50,15
181,50,15
182,50,15
183,50,15
184,50,15
185,50,15
186,50,15
187,50,15
188,50,15
189,50,15
190,50,15
191,50,15
192,50,15
193,50,15
194,50,15
195,50,15
196,50,15
197,50,15
198,50,15
199,50,15
200,50,15
201,20,6
202,20,6
203,20,6
204,20,6
205,20,6
206,20,6
207,20,6
208,20,6
209,20,6
210,20,6
211,20,6
212,20,6
213,20,6
