event_id,event_name,day,start_time,end_time,location
200,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",4/28/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
201,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",4/29/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
202,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",4/30/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
203,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/1/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
204,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/2/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
205,IL DIPARTIMENTO DELL'ORSO,5/3/25,10:30,11:30,"Sala Affreschi, Biblioteca comunale, via Roma 55, Trento"
206,BESTIARIO DANTESCO,5/3/25,15:00,17:00,"Sala Giovani, Biblioteca comunale, via Roma 55, Trento"
207,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/3/25,8:30,12:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
208,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/5/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
209,APERITIVI DELLE LINGUE,5/6/25,20:30,21:30,"Bookique, via Torre d'Augusto 28, Trento"
210,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/6/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
211,L'AMMINISTRATORE/TRICE DI SOSTEGNO - INCONTRI DI APPROFONDIMENTO,5/7/25,17:30,19:30,Online
212,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/7/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
213,MALOTEMPO,5/8/25,17:30,18:30,"Sala Affreschi, Biblioteca comunale, via Roma 55, Trento"
214,MERCATO DELL'ECONOMIA SOLIDALE,5/8/25,7:30,13:00,"Piazza Santa Maria Maggiore, Trento"
215,MERCATO SETTIMANALE DEL GIOVEDÌ,5/8/25,7:15,14:00,"Centro storico, Trento"
216,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/8/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
217,PIEDICASTELLO IN FIOR 2025,5/9/25,16:00,17:30,"Piazza Piedicastello, Trento"
218,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/9/25,8:30,19:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
219,MERCATO DEI GAUDENTI,5/10/25,8:00,16:00,"Piazza Garzetti, Trento"
220,"DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA",5/10/25,8:30,12:30,"Biblioteca comunale sede centrale, via Roma 55, Trento"
221,GIORNATA MONDIALE DELLA SINDROME FIBROMIALGICA,5/12/25,,,"Fontana del Nettuno, Piazza del Duomo, Trento"
222,L'AMMINISTRATORE/TRICE DI SOSTEGNO - A SOSTEGNO DI PERSONE CON DISAGIO PSICHICO,5/12/25,17:30,19:30,Online
